t;x;v
1.9300;-0.417414535455;-0.262685111696
1.9400;-0.420041386572;-0.254074135875
1.9500;-0.422582127930;-0.245419234008
1.9600;-0.425036320270;-0.236722172215
1.9700;-0.427403541993;-0.227984723637
1.9800;-0.429683389229;-0.219208668074
1.9900;-0.431875475910;-0.210395791621
2.0000;-0.433979433826;-0.201547886311
2.0100;-0.435994912689;-0.192666749749
2.0200;-0.437921580187;-0.183754184745
2.0300;-0.439759122034;-0.174811998957
2.0400;-0.441507242024;-0.165842004517
2.0500;-0.443165662069;-0.156846017672
2.0600;-0.444734122245;-0.147825858413
2.0700;-0.446212380830;-0.138783350110
2.0800;-0.447600214331;-0.129720319143
2.0900;-0.448897417522;-0.120638594537
2.1000;-0.450103803467;-0.111540007592
2.1100;-0.451219203543;-0.102426391515
2.1200;-0.452243467459;-0.093299581053
2.1300;-0.453176463269;-0.084161412123
2.1400;-0.454018077390;-0.075013721445
2.1500;-0.454768214605;-0.065858346176
2.1600;-0.455426798066;-0.056697123538
2.1700;-0.455993769302;-0.047531890453
2.1800;-0.456469088206;-0.038364483176
2.1900;-0.456852733038;-0.029196736929
2.2000;-0.457144700407;-0.020030485531
2.2100;-0.457345005263;-0.010867561038
2.2200;-0.457453680873;-0.001709793371
2.2300;-0.457470778807;0.007440990039
2.2400;-0.457396368906;0.016582964626
2.2500;-0.457230539260;0.025714309039
2.2600;-0.456973396170;0.034833205515
2.2700;-0.456625064115;0.043937840233
2.2800;-0.456185685712;0.053026403675
2.2900;-0.455655421676;0.062097090986
2.3000;-0.455034450766;0.071148102328
2.3100;-0.454322969742;0.080177643241
2.3200;-0.453521193310;0.089183924993
2.3300;-0.452629354060;0.098165164934
2.3400;-0.451647702411;0.107119586850
2.3500;-0.450576506542;0.116045421312
2.3600;-0.449416052329;0.124940906021
2.3700;-0.448166643269;0.133804286162
2.3800;-0.446828600407;0.142633814741
2.3900;-0.445402262260;0.151427752934
2.4000;-0.443887984731;0.160184370427
2.4100;-0.442286141026;0.168901945751
2.4200;-0.440597121569;0.177578766626
2.4300;-0.438821333903;0.186213130290
2.4400;-0.436959202600;0.194803343838
2.4500;-0.435011169161;0.203347724546
2.4600;-0.432977691916;0.211844600205
2.4700;-0.430859245914;0.220292309443
2.4800;-0.428656322819;0.228689202052
2.4900;-0.426369430799;0.237033639306
2.5000;-0.423999094406;0.245323994283
2.5100;-0.421545854463;0.253558652177
2.5200;-0.419010267941;0.261736010614
2.5300;-0.416392907835;0.269854479962
2.5400;-0.413694363035;0.277912483639
2.5500;-0.410915238199;0.285908458416
2.5600;-0.408056153615;0.293840854721
2.5700;-0.405117745068;0.301708136939
2.5800;-0.402100663698;0.309508783703
2.5900;-0.399005575861;0.317241288194
2.6000;-0.395833162979;0.324904158423
2.6100;-0.392584121395;0.332495917524
2.6200;-0.389259162220;0.340015104034
2.6300;-0.385859011179;0.347460272175
2.6400;-0.382384408458;0.354829992126
2.6500;-0.378836108536;0.362122850303
2.6600;-0.375214880033;0.369337449623
2.6700;-0.371521505537;0.376472409775
2.6800;-0.367756781439;0.383526367476
2.6900;-0.363921517765;0.390497976737
2.7000;-0.360016537997;0.397385909115
2.7100;-0.356042678906;0.404188853966
2.7200;-0.352000790366;0.410905518690
2.7300;-0.347891735180;0.417534628979
2.7400;-0.343716388890;0.424074929054
2.7500;-0.339475639599;0.430525181902
2.7600;-0.335170387780;0.436884169512
2.7700;-0.330801546085;0.443150693099
2.7800;-0.326370039154;0.449323573327
2.7900;-0.321876803421;0.455401650537
2.8000;-0.317322786915;0.461383784955
2.8100;-0.312708949066;0.467268856908
2.8200;-0.308036260497;0.473055767033
2.8300;-0.303305702826;0.478743436475
2.8400;-0.298518268462;0.484330807095
2.8500;-0.293674960391;0.489816841658
2.8600;-0.288776791974;0.495200524024
2.8700;-0.283824786734;0.500480859339
2.8800;-0.278819978141;0.505656874215
2.8900;-0.273763409398;0.510727616903
2.9000;-0.268656133229;0.515692157474
2.9100;-0.263499211655;0.520549587981
2.9200;-0.258293715775;0.525299022626
2.9300;-0.253040725549;0.529939597919
2.9400;-0.247741329569;0.534470472832
2.9500;-0.242396624841;0.538890828951
2.9600;-0.237007716552;0.543199870619
2.9700;-0.231575717845;0.547396825079
2.9800;-0.226101749595;0.551480942611
2.9900;-0.220586940168;0.555451496660
3.0000;-0.215032425202;0.559307783967
3.0100;-0.209439347362;0.563049124687
3.0200;-0.203808856115;0.566674862510
3.0300;-0.198142107490;0.570184364769
3.0400;-0.192440263843;0.573577022555
3.0500;-0.186704493617;0.576852250809
3.0600;-0.180935971109;0.580009488430
3.0700;-0.175135876225;0.583048198364
3.0800;-0.169305394241;0.585967867690
3.0900;-0.163445715564;0.588768007707
3.1000;-0.157558035487;0.591448154011
3.1100;-0.151643553947;0.594007866567
3.1200;-0.145703475281;0.596446729779
3.1300;-0.139739007983;0.598764352555
3.1400;-0.133751364458;0.600960368362
3.1500;-0.127741760774;0.603034435283
3.1600;-0.121711416421;0.604986236063
3.1700;-0.115661554061;0.606815478155
3.1800;-0.109593399279;0.608521893758
3.1900;-0.103508180342;0.610105239850
3.2000;-0.097407127943;0.611565298217
3.2100;-0.091291474961;0.612901875478
3.2200;-0.085162456206;0.614114803102
3.2300;-0.079021308175;0.615203937423
3.2400;-0.072869268801;0.616169159649
3.2500;-0.066707577204;0.617010375865
3.2600;-0.060537473446;0.617727517033
3.2700;-0.054360198275;0.618320538985
3.2800;-0.048176992886;0.618789422412
3.2900;-0.041989098662;0.619134172847
3.3000;-0.035797756933;0.619354820647
3.3100;-0.029604208727;0.619451420965
3.3200;-0.023409694517;0.619424053719
3.3300;-0.017215453980;0.619272823556
3.3400;-0.011022725744;0.618997859812
3.3500;-0.004832747146;0.618599316467
3.3600;0.001353246019;0.618077372093
3.3700;0.007534019740;0.617432229801
3.3800;0.013708342038;0.616664117176
3.3900;0.019874983209;0.615773286218
3.4000;0.026032716071;0.614760013268
3.4100;0.032180316204;0.613624598933
3.4200;0.038316562193;0.612367368010
3.4300;0.044440235874;0.610988669398
3.4400;0.050550122568;0.609488876011
3.4500;0.056645011328;0.607868384684
3.4600;0.062723695175;0.606127616073
3.4700;0.068784971335;0.604267014553
3.4800;0.074827641481;0.602287048112
3.4900;0.080850511962;0.600188208234
3.5000;0.086852394044;0.597971009787
3.5100;0.092832104142;0.595635990896
3.5200;0.098788464051;0.593183712822
3.5300;0.104720301179;0.590614759828
3.5400;0.110626448778;0.587929739045
3.5500;0.116505746168;0.585129280330
3.5600;0.122357038971;0.582214036127
3.5700;0.128179179333;0.579184681311
3.5800;0.133971026146;0.576041913043
3.5900;0.139731445276;0.572786450607
3.6000;0.145459309782;0.569419035251
3.6100;0.151153500135;0.565940430020
3.6200;0.156812904435;0.562351419587
3.6300;0.162436418631;0.558652810079
3.6400;0.168022946732;0.554845428897
3.6500;0.173571401021;0.550930124533
3.6600;0.179080702266;0.546907766388
3.6700;0.184549779930;0.542779244576
3.6800;0.189977572376;0.538545469733
3.6900;0.195363027073;0.534207372816
3.7000;0.200705100801;0.529765904902
3.7100;0.206002759850;0.525222036981
3.7200;0.211254980220;0.520576759747
3.7300;0.216460747817;0.515831083383
3.7400;0.221619058651;0.510986037343
3.7500;0.226728919025;0.506042670133
3.7600;0.231789345726;0.501002049082
3.7700;0.236799366217;0.495865260118
3.7800;0.241758018818;0.490633407534
3.7900;0.246664352893;0.485307613750
3.8000;0.251517429031;0.479889019078
3.8100;0.256316319222;0.474378781479
3.8200;0.261060107036;0.468778076313
3.8300;0.265747887799;0.463088096096
3.8400;0.270378768760;0.457310050244
3.8500;0.274951869263;0.451445164818
3.8600;0.279466320911;0.445494682268
3.8700;0.283921267734;0.439459861168
3.8800;0.288315866345;0.433341975952
3.8900;0.292649286105;0.427142316649
3.9000;0.296920709271;0.420862188610
3.9100;0.301129331157;0.414502912236
3.9200;0.305274360280;0.408065822701
3.9300;0.309355018507;0.401552269672
3.9400;0.313370541204;0.394963617033
3.9500;0.317320177374;0.388301242591
3.9600;0.321203189800;0.381566537801
3.9700;0.325018855178;0.374760907468
